path	role	size_bytes	sha256
in_vitro/decoder.ckpt	fitted decoder checkpoint	97303	7e34d4fff2eb2deabff8c81910bcc82a71449a91e0fddbedc712e78649671cfe
in_vitro/decoder_x_scaler.npz	decoder input scaler parameters	536	39cd2a6e8a0787fd6592568ec63e13eed9359a7e46fdbc6bd12671592e077574
in_vitro/flow_scaler.npz	in-vitro flow coordinate scaler parameters	536	fec084b7fa9f9cb7037ff9b9c951107db6f4a7fde6ba88cb864e4b9ab8fc8714
in_vitro/in_vitro.h5ad	preprocessed in-vitro data	523529837	4599a5dd5abd32c1ed9f535add0b029e76056f5c8d38ea9e75e5b033c9c0d6c9
in_vitro/trajectories_A_extreme.npy	apoptotic trajectories	15328	ce8ad321e94d689a7caf5b613d82fe78d7d0a7606dda9fb5413b9d2bddcded09
in_vitro/trajectories_T.npy	archived tumor-forming trajectories for Figure 5b	64928	00988adb86726a9ec80ad77f0965ba6bb26f3146f20ca695c806f1ce4d60a0ef
in_vitro/trajectories_T_extreme.npy	tumor-forming trajectories	16128	f57dfb8eae696ff020934980310e2864294d4e08bac0405156b80b3dde0d8f4e
in_vivo/T1_flow_input.csv	T1 flow model input	73981	f1a72c883d727caff7937f68eeaf1cd875519b2ab840210a9db928ea9a2810bd
in_vivo/T1_flow_model.pt	fitted T1 flow checkpoint	8178	c9d32142a325bf90f7fedf0f349cf52c900720811b0fc71a10216ba1b9580797
in_vivo/T1_flow_scaler.pkl	T1 flow scaler	521	b7675faa0bce3971e701b63a4354fab5844c8fef92318823651c05921f4b43dc
in_vivo/T1_growth_model.pt	fitted T1 growth model	7912	d2e062b91219e613f3d6683925c49d7fe353519f8d48e9a8ebe9df9953117a5d
in_vivo/T2_flow_input.csv	T2 flow model input	72950	67ef7a9e2440ac414a78a34144110085700e81f863819f380b9cf60f33c1eb69
in_vivo/T2_flow_model.pt	fitted T2 flow checkpoint	8178	65235e126b0196ff730aee089b726d1de83ac974a6addb7ab93532bfdb1db969
in_vivo/T2_flow_scaler.pkl	T2 flow scaler	521	b7c0566c1ade8ceaf7b0fb5c13666555ca1cde9154ba93eb424bc84e66fccf25
in_vivo/T2_growth_model.pt	fitted T2 growth model	7912	3d8a75cad97662785c9118afa511188bdad7e935e412779c664eef801aa4bbfd
in_vivo/flow_initial_indices.json	fixed initial-condition indices	15269	ebad0038c6018253c7db86ff8f6f0a686cc7ea4b21c86c5af42a2a4ab761cced
in_vivo/gaga_model.pt	fitted GAGA checkpoint	458274	91f3fd7f4cbbc3aa6101ea6f127fd8d48bb0d88f3af1068922c83e305bdcb649
in_vivo/gaga_pca_scaler.pkl	GAGA PCA scaler	1658	186855889eb47ae97b9494899ffc41b38b5c7baea68b7883fe0ede5eff75f291
in_vivo/in_vivo.h5ad	preprocessed in-vivo data	227282647	6d6d3590a1940ad5ab8cf4e960fb4ea367fc634e73ec11900b69a974fa5cead8
